itl2_code,itl2_name,year,median_all,median_newbuild,median_existing,median_detached,median_semi_detached,median_terraced,median_flat,n_sales
TLJ2,"Surrey, East and West Sussex",2023,420000.0,475000.0,415000.0,665000.0,450000.0,380000.0,255000.0,38134
TLJ3,Hampshire and Isle of Wight,2023,325000.0,425000.0,320000.0,545000.0,355000.0,285000.0,183000.0,24345
TLJ4,Kent,2023,340000.0,394747.5,333000.0,545000.0,370000.0,300000.0,215000.0,23013
TLK3,Cornwall and Isles of Scilly,2023,295000.0,350000.0,285000.0,420000.0,275000.0,237750.0,179250.0,7885
TLK4,Devon,2023,287000.0,355000.0,278000.0,445000.0,287500.0,238000.0,159950.0,17291
TLK5,West of England,2023,345000.0,400000.0,340000.0,545000.0,356622.5,340000.0,245000.0,12170
TLK6,"North Somerset, Somerset and Dorset",2023,318000.0,350000.0,312500.0,465000.0,307500.0,260000.0,195000.0,22332
TLK7,Gloucestershire and Wiltshire,2023,309950.0,375000.0,298000.0,460000.0,302000.0,250000.0,163000.0,19059
TLL3,North Wales,2023,195000.0,284995.0,190000.0,290000.0,185000.0,145000.0,120000.0,8268
TLL4,Mid and South West Wales,2023,190000.0,273995.0,185000.0,300000.0,179995.0,144000.0,123500.0,10342
TLL5,South East Wales,2023,213000.0,300000.0,200000.0,370000.0,230995.0,160000.0,150000.0,18025
TLC3,Tees Valley,2024,165000.0,251347.5,152950.0,280000.0,157500.0,105000.0,87000.0,9405
TLC4,"Northumberland, Durham and Tyne & Wear",2024,170995.0,259995.0,160000.0,300000.0,173000.0,130000.0,107500.0,27297
TLD1,Cumbria,2024,200000.0,269995.0,192250.0,339225.0,198000.0,130000.0,140000.0,7995
