itl2_code,itl2_name,year,gva_real_gbp_m
TLF1,Derbyshire and Nottinghamshire,2001,44448
TLF2,"Leicestershire, Rutland and Northamptonshire",2001,38555
TLF3,Lincolnshire,2001,14191
TLG1,"Herefordshire, Worcestershire and Warwickshire",2001,29130
TLG2,Shropshire and Staffordshire,2001,31192
TLG3,West Midlands,2001,63232
TLH2,Bedfordshire and Hertfordshire,2001,43892
TLH3,Essex,2001,38087
TLH4,Cambridgeshire and Peterborough,2001,21126
TLH5,Norfolk,2001,16750
TLH6,Suffolk,2001,15336
TLI3,Inner London - West,2001,135509
TLI4,Inner London - East,2001,73650
TLI5,Outer London - East and North East,2001,33521
TLI6,Outer London - South,2001,30866
TLI7,Outer London - West and North West,2001,53951
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2001,67375
TLJ2,"Surrey, East and West Sussex",2001,74661
TLJ3,Hampshire and Isle of Wight,2001,47486
TLJ4,Kent,2001,37876
TLK3,Cornwall and Isles of Scilly,2001,9495
TLK4,Devon,2001,22698
TLK5,West of England,2001,25559
TLK6,"North Somerset, Somerset and Dorset",2001,32993
TLK7,Gloucestershire and Wiltshire,2001,35072
TLL3,North Wales,2001,13137
TLL4,Mid and South West Wales,2001,15826
TLL5,South East Wales,2001,28123
TLM0,Eastern Scotland,2001,17821
TLM1,East Central Scotland,2001,28479
TLM2,Highlands and Islands,2001,10356
TLM3,West Central Scotland,2001,33719
TLM5,North Eastern Scotland,2001,13022
TLM9,Southern Scotland,2001,19138
TLN0,Northern Ireland,2001,39147
TLC3,Tees Valley,2002,11757
TLC4,"Northumberland, Durham and Tyne & Wear",2002,36347
TLD1,Cumbria,2002,10742
TLD3,Greater Manchester,2002,57273
TLD4,Lancashire,2002,31034
TLD6,Cheshire,2002,27537
TLD7,Merseyside,2002,30818
TLE1,East Yorkshire and Northern Lincolnshire,2002,20077
TLE2,North Yorkshire,2002,21442
TLE3,South Yorkshire,2002,25159
TLE4,West Yorkshire,2002,47817
TLF1,Derbyshire and Nottinghamshire,2002,45059
TLF2,"Leicestershire, Rutland and Northamptonshire",2002,38700
TLF3,Lincolnshire,2002,14579
TLG1,"Herefordshire, Worcestershire and Warwickshire",2002,29229
TLG2,Shropshire and Staffordshire,2002,32106
TLG3,West Midlands,2002,63185
TLH2,Bedfordshire and Hertfordshire,2002,44224
TLH3,Essex,2002,38073
TLH4,Cambridgeshire and Peterborough,2002,21556
TLH5,Norfolk,2002,17094
TLH6,Suffolk,2002,15606
TLI3,Inner London - West,2002,138224
TLI4,Inner London - East,2002,75334
TLI5,Outer London - East and North East,2002,33804
TLI6,Outer London - South,2002,31046
TLI7,Outer London - West and North West,2002,54263
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2002,69576
TLJ2,"Surrey, East and West Sussex",2002,75163
TLJ3,Hampshire and Isle of Wight,2002,48729
TLJ4,Kent,2002,38317
TLK3,Cornwall and Isles of Scilly,2002,9912
TLK4,Devon,2002,23106
TLK5,West of England,2002,26120
TLK6,"North Somerset, Somerset and Dorset",2002,33094
TLK7,Gloucestershire and Wiltshire,2002,35336
TLL3,North Wales,2002,13349
TLL4,Mid and South West Wales,2002,15964
TLL5,South East Wales,2002,28769
TLM0,Eastern Scotland,2002,18169
TLM1,East Central Scotland,2002,29652
TLM2,Highlands and Islands,2002,10250
TLM3,West Central Scotland,2002,33728
TLM5,North Eastern Scotland,2002,13279
TLM9,Southern Scotland,2002,19105
TLN0,Northern Ireland,2002,39405
TLC3,Tees Valley,2003,12458
TLC4,"Northumberland, Durham and Tyne & Wear",2003,37440
TLD1,Cumbria,2003,11255
TLD3,Greater Manchester,2003,58504
TLD4,Lancashire,2003,32884
TLD6,Cheshire,2003,27404
TLD7,Merseyside,2003,32373
TLE1,East Yorkshire and Northern Lincolnshire,2003,20961
TLE2,North Yorkshire,2003,22171
TLE3,South Yorkshire,2003,26070
TLE4,West Yorkshire,2003,50040
TLF1,Derbyshire and Nottinghamshire,2003,45852
TLF2,"Leicestershire, Rutland and Northamptonshire",2003,40327
TLF3,Lincolnshire,2003,15010
TLG1,"Herefordshire, Worcestershire and Warwickshire",2003,30184
TLG2,Shropshire and Staffordshire,2003,32854
TLG3,West Midlands,2003,64435
TLH2,Bedfordshire and Hertfordshire,2003,45799
TLH3,Essex,2003,40584
TLH4,Cambridgeshire and Peterborough,2003,21985
TLH5,Norfolk,2003,17558
TLH6,Suffolk,2003,15994
TLI3,Inner London - West,2003,144061
TLI4,Inner London - East,2003,78627
TLI5,Outer London - East and North East,2003,35138
TLI6,Outer London - South,2003,32241
TLI7,Outer London - West and North West,2003,56314
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2003,72906
TLJ2,"Surrey, East and West Sussex",2003,75810
TLJ3,Hampshire and Isle of Wight,2003,49224
TLJ4,Kent,2003,39232
TLK3,Cornwall and Isles of Scilly,2003,10363
TLK4,Devon,2003,23648
TLK5,West of England,2003,26774
TLK6,"North Somerset, Somerset and Dorset",2003,33539
TLK7,Gloucestershire and Wiltshire,2003,36070
TLL3,North Wales,2003,13906
TLL4,Mid and South West Wales,2003,16354
TLL5,South East Wales,2003,29951
TLM0,Eastern Scotland,2003,18852
TLM1,East Central Scotland,2003,30914
TLM2,Highlands and Islands,2003,10878
TLM3,West Central Scotland,2003,34692
TLM5,North Eastern Scotland,2003,13165
TLM9,Southern Scotland,2003,19593
TLN0,Northern Ireland,2003,41164
TLC3,Tees Valley,2004,13045
TLC4,"Northumberland, Durham and Tyne & Wear",2004,39802
TLD1,Cumbria,2004,11409
TLD3,Greater Manchester,2004,60268
TLD4,Lancashire,2004,34324
TLD6,Cheshire,2004,28825
TLD7,Merseyside,2004,33141
TLE1,East Yorkshire and Northern Lincolnshire,2004,21491
TLE2,North Yorkshire,2004,22527
TLE3,South Yorkshire,2004,26849
TLE4,West Yorkshire,2004,51833
TLF1,Derbyshire and Nottinghamshire,2004,47795
TLF2,"Leicestershire, Rutland and Northamptonshire",2004,41557
TLF3,Lincolnshire,2004,14595
TLG1,"Herefordshire, Worcestershire and Warwickshire",2004,30679
TLG2,Shropshire and Staffordshire,2004,34069
TLG3,West Midlands,2004,65313
TLH2,Bedfordshire and Hertfordshire,2004,46473
TLH3,Essex,2004,40517
TLH4,Cambridgeshire and Peterborough,2004,22315
TLH5,Norfolk,2004,17695
TLH6,Suffolk,2004,16221
TLI3,Inner London - West,2004,148178
TLI4,Inner London - East,2004,81590
TLI5,Outer London - East and North East,2004,35881
TLI6,Outer London - South,2004,32775
TLI7,Outer London - West and North West,2004,57683
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2004,73175
TLJ2,"Surrey, East and West Sussex",2004,75372
TLJ3,Hampshire and Isle of Wight,2004,50825
TLJ4,Kent,2004,40158
TLK3,Cornwall and Isles of Scilly,2004,10431
TLK4,Devon,2004,24931
TLK5,West of England,2004,27307
TLK6,"North Somerset, Somerset and Dorset",2004,34148
TLK7,Gloucestershire and Wiltshire,2004,36350
TLL3,North Wales,2004,14375
TLL4,Mid and South West Wales,2004,17048
TLL5,South East Wales,2004,30492
TLM0,Eastern Scotland,2004,19195
TLM1,East Central Scotland,2004,31964
TLM2,Highlands and Islands,2004,11432
TLM3,West Central Scotland,2004,35997
TLM5,North Eastern Scotland,2004,13718
TLM9,Southern Scotland,2004,19975
TLN0,Northern Ireland,2004,42113
TLC3,Tees Valley,2005,13037
TLC4,"Northumberland, Durham and Tyne & Wear",2005,40512
TLD1,Cumbria,2005,11661
TLD3,Greater Manchester,2005,62700
TLD4,Lancashire,2005,34620
TLD6,Cheshire,2005,29841
TLD7,Merseyside,2005,33512
TLE1,East Yorkshire and Northern Lincolnshire,2005,21411
TLE2,North Yorkshire,2005,22542
TLE3,South Yorkshire,2005,26984
TLE4,West Yorkshire,2005,53763
TLF1,Derbyshire and Nottinghamshire,2005,49669
TLF2,"Leicestershire, Rutland and Northamptonshire",2005,41952
TLF3,Lincolnshire,2005,14785
TLG1,"Herefordshire, Worcestershire and Warwickshire",2005,31026
TLG2,Shropshire and Staffordshire,2005,34496
TLG3,West Midlands,2005,66219
TLH2,Bedfordshire and Hertfordshire,2005,48730
TLH3,Essex,2005,41013
TLH4,Cambridgeshire and Peterborough,2005,23498
TLH5,Norfolk,2005,18127
TLH6,Suffolk,2005,16900
TLI3,Inner London - West,2005,160104
TLI4,Inner London - East,2005,87295
TLI5,Outer London - East and North East,2005,36688
TLI6,Outer London - South,2005,33715
TLI7,Outer London - West and North West,2005,59732
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2005,76094
TLJ2,"Surrey, East and West Sussex",2005,77242
TLJ3,Hampshire and Isle of Wight,2005,52452
TLJ4,Kent,2005,41441
TLK3,Cornwall and Isles of Scilly,2005,10736
TLK4,Devon,2005,25159
TLK5,West of England,2005,27643
TLK6,"North Somerset, Somerset and Dorset",2005,34967
TLK7,Gloucestershire and Wiltshire,2005,37054
TLL3,North Wales,2005,14531
TLL4,Mid and South West Wales,2005,16961
TLL5,South East Wales,2005,31145
TLM0,Eastern Scotland,2005,19559
TLM1,East Central Scotland,2005,33121
TLM2,Highlands and Islands,2005,11843
TLM3,West Central Scotland,2005,37620
TLM5,North Eastern Scotland,2005,14176
TLM9,Southern Scotland,2005,20659
TLN0,Northern Ireland,2005,43497
TLC3,Tees Valley,2006,13517
TLC4,"Northumberland, Durham and Tyne & Wear",2006,41773
TLD1,Cumbria,2006,12378
TLD3,Greater Manchester,2006,64617
TLD4,Lancashire,2006,34853
TLD6,Cheshire,2006,31532
TLD7,Merseyside,2006,35058
TLE1,East Yorkshire and Northern Lincolnshire,2006,22496
TLE2,North Yorkshire,2006,22642
TLE3,South Yorkshire,2006,27802
TLE4,West Yorkshire,2006,54783
TLF1,Derbyshire and Nottinghamshire,2006,50371
TLF2,"Leicestershire, Rutland and Northamptonshire",2006,44554
TLF3,Lincolnshire,2006,15506
TLG1,"Herefordshire, Worcestershire and Warwickshire",2006,32330
TLG2,Shropshire and Staffordshire,2006,35172
TLG3,West Midlands,2006,66411
TLH2,Bedfordshire and Hertfordshire,2006,49369
TLH3,Essex,2006,41837
TLH4,Cambridgeshire and Peterborough,2006,24450
TLH5,Norfolk,2006,18952
TLH6,Suffolk,2006,17443
TLI3,Inner London - West,2006,164673
TLI4,Inner London - East,2006,90455
TLI5,Outer London - East and North East,2006,38185
TLI6,Outer London - South,2006,34423
TLI7,Outer London - West and North West,2006,63609
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2006,78268
TLJ2,"Surrey, East and West Sussex",2006,79812
TLJ3,Hampshire and Isle of Wight,2006,53029
TLJ4,Kent,2006,41373
TLK3,Cornwall and Isles of Scilly,2006,11143
TLK4,Devon,2006,25969
TLK5,West of England,2006,27993
TLK6,"North Somerset, Somerset and Dorset",2006,35645
TLK7,Gloucestershire and Wiltshire,2006,37238
TLL3,North Wales,2006,15122
TLL4,Mid and South West Wales,2006,17334
TLL5,South East Wales,2006,32150
TLM0,Eastern Scotland,2006,20466
TLM1,East Central Scotland,2006,33401
TLM2,Highlands and Islands,2006,11992
TLM3,West Central Scotland,2006,38356
TLM5,North Eastern Scotland,2006,15971
TLM9,Southern Scotland,2006,21400
TLN0,Northern Ireland,2006,44772
TLC3,Tees Valley,2007,13484
TLC4,"Northumberland, Durham and Tyne & Wear",2007,41588
TLD1,Cumbria,2007,12247
TLD3,Greater Manchester,2007,66892
TLD4,Lancashire,2007,35387
TLD6,Cheshire,2007,32208
TLD7,Merseyside,2007,34589
TLE1,East Yorkshire and Northern Lincolnshire,2007,22532
TLE2,North Yorkshire,2007,23107
TLE3,South Yorkshire,2007,28852
TLE4,West Yorkshire,2007,57162
TLF1,Derbyshire and Nottinghamshire,2007,50447
TLF2,"Leicestershire, Rutland and Northamptonshire",2007,45355
TLF3,Lincolnshire,2007,15579
TLG1,"Herefordshire, Worcestershire and Warwickshire",2007,31544
TLG2,Shropshire and Staffordshire,2007,34825
TLG3,West Midlands,2007,67621
TLH2,Bedfordshire and Hertfordshire,2007,50485
TLH3,Essex,2007,42188
