itl2_code,itl2_name,year,gva_real_gbp_m
TLC4,"Northumberland, Durham and Tyne & Wear",2012,41463
TLD1,Cumbria,2012,12248
TLD3,Greater Manchester,2012,67787
TLD4,Lancashire,2012,33941
TLD6,Cheshire,2012,31976
TLD7,Merseyside,2012,33893
TLE1,East Yorkshire and Northern Lincolnshire,2012,20289
TLE2,North Yorkshire,2012,22156
TLE3,South Yorkshire,2012,27873
TLE4,West Yorkshire,2012,55407
TLF1,Derbyshire and Nottinghamshire,2012,51290
TLF2,"Leicestershire, Rutland and Northamptonshire",2012,45361
TLF3,Lincolnshire,2012,15657
TLG1,"Herefordshire, Worcestershire and Warwickshire",2012,34036
TLG2,Shropshire and Staffordshire,2012,35124
TLG3,West Midlands,2012,66702
TLH2,Bedfordshire and Hertfordshire,2012,48441
TLH3,Essex,2012,41588
TLH4,Cambridgeshire and Peterborough,2012,25730
TLH5,Norfolk,2012,19913
TLH6,Suffolk,2012,18090
TLI3,Inner London - West,2012,190320
TLI4,Inner London - East,2012,109064
TLI5,Outer London - East and North East,2012,38245
TLI6,Outer London - South,2012,33472
TLI7,Outer London - West and North West,2012,65482
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2012,89172
TLJ2,"Surrey, East and West Sussex",2012,85676
TLJ3,Hampshire and Isle of Wight,2012,59460
TLJ4,Kent,2012,42682
TLK3,Cornwall and Isles of Scilly,2012,10920
TLK4,Devon,2012,25601
TLK5,West of England,2012,31534
TLK6,"North Somerset, Somerset and Dorset",2012,35168
TLK7,Gloucestershire and Wiltshire,2012,39939
TLL3,North Wales,2012,15072
TLL4,Mid and South West Wales,2012,16904
TLL5,South East Wales,2012,33575
TLM0,Eastern Scotland,2012,20761
TLM1,East Central Scotland,2012,35676
TLM2,Highlands and Islands,2012,12776
TLM3,West Central Scotland,2012,38462
TLM5,North Eastern Scotland,2012,19111
TLM9,Southern Scotland,2012,20291
TLN0,Northern Ireland,2012,42233
TLC3,Tees Valley,2013,13758
TLC4,"Northumberland, Durham and Tyne & Wear",2013,41156
TLD1,Cumbria,2013,12366
TLD3,Greater Manchester,2013,69526
TLD4,Lancashire,2013,34118
TLD6,Cheshire,2013,32452
TLD7,Merseyside,2013,34202
TLE1,East Yorkshire and Northern Lincolnshire,2013,20445
TLE2,North Yorkshire,2013,22368
TLE3,South Yorkshire,2013,28055
TLE4,West Yorkshire,2013,55944
TLF1,Derbyshire and Nottinghamshire,2013,52039
TLF2,"Leicestershire, Rutland and Northamptonshire",2013,46719
TLF3,Lincolnshire,2013,16169
TLG1,"Herefordshire, Worcestershire and Warwickshire",2013,35367
TLG2,Shropshire and Staffordshire,2013,35750
TLG3,West Midlands,2013,67933
TLH2,Bedfordshire and Hertfordshire,2013,50991
TLH3,Essex,2013,41813
TLH4,Cambridgeshire and Peterborough,2013,25805
TLH5,Norfolk,2013,20401
TLH6,Suffolk,2013,18580
TLI3,Inner London - West,2013,196931
TLI4,Inner London - East,2013,111159
TLI5,Outer London - East and North East,2013,39381
TLI6,Outer London - South,2013,33690
TLI7,Outer London - West and North West,2013,68395
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2013,90815
TLJ2,"Surrey, East and West Sussex",2013,87142
TLJ3,Hampshire and Isle of Wight,2013,60425
TLJ4,Kent,2013,43204
TLK3,Cornwall and Isles of Scilly,2013,11098
TLK4,Devon,2013,26171
TLK5,West of England,2013,31370
TLK6,"North Somerset, Somerset and Dorset",2013,35433
TLK7,Gloucestershire and Wiltshire,2013,40386
TLL3,North Wales,2013,15501
TLL4,Mid and South West Wales,2013,17310
TLL5,South East Wales,2013,33837
TLM0,Eastern Scotland,2013,21431
TLM1,East Central Scotland,2013,35805
TLM2,Highlands and Islands,2013,13139
TLM3,West Central Scotland,2013,39539
TLM5,North Eastern Scotland,2013,19994
TLM9,Southern Scotland,2013,20801
TLN0,Northern Ireland,2013,42811
TLC3,Tees Valley,2014,14350
TLC4,"Northumberland, Durham and Tyne & Wear",2014,41835
TLD1,Cumbria,2014,12894
TLD3,Greater Manchester,2014,70533
TLD4,Lancashire,2014,34991
TLD6,Cheshire,2014,34102
TLD7,Merseyside,2014,35485
TLE1,East Yorkshire and Northern Lincolnshire,2014,21026
TLE2,North Yorkshire,2014,22613
TLE3,South Yorkshire,2014,28559
TLE4,West Yorkshire,2014,56888
TLF1,Derbyshire and Nottinghamshire,2014,52469
TLF2,"Leicestershire, Rutland and Northamptonshire",2014,48159
TLF3,Lincolnshire,2014,16553
TLG1,"Herefordshire, Worcestershire and Warwickshire",2014,37034
TLG2,Shropshire and Staffordshire,2014,36528
TLG3,West Midlands,2014,70421
TLH2,Bedfordshire and Hertfordshire,2014,54170
TLH3,Essex,2014,43545
TLH4,Cambridgeshire and Peterborough,2014,26717
TLH5,Norfolk,2014,20858
TLH6,Suffolk,2014,19107
TLI3,Inner London - West,2014,206477
TLI4,Inner London - East,2014,115112
TLI5,Outer London - East and North East,2014,40034
TLI6,Outer London - South,2014,34905
TLI7,Outer London - West and North West,2014,72337
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2014,94880
TLJ2,"Surrey, East and West Sussex",2014,88990
TLJ3,Hampshire and Isle of Wight,2014,61773
TLJ4,Kent,2014,44166
TLK3,Cornwall and Isles of Scilly,2014,11393
TLK4,Devon,2014,26663
TLK5,West of England,2014,32837
TLK6,"North Somerset, Somerset and Dorset",2014,36766
TLK7,Gloucestershire and Wiltshire,2014,42423
TLL3,North Wales,2014,15353
TLL4,Mid and South West Wales,2014,17915
TLL5,South East Wales,2014,34388
TLM0,Eastern Scotland,2014,21951
TLM1,East Central Scotland,2014,36609
TLM2,Highlands and Islands,2014,13375
TLM3,West Central Scotland,2014,41201
TLM5,North Eastern Scotland,2014,21022
TLM9,Southern Scotland,2014,21344
TLN0,Northern Ireland,2014,43702
TLC3,Tees Valley,2015,15201
TLC4,"Northumberland, Durham and Tyne & Wear",2015,42880
TLD1,Cumbria,2015,13190
TLD3,Greater Manchester,2015,72996
TLD4,Lancashire,2015,36246
TLD6,Cheshire,2015,34473
TLD7,Merseyside,2015,36268
TLE1,East Yorkshire and Northern Lincolnshire,2015,22163
TLE2,North Yorkshire,2015,22517
TLE3,South Yorkshire,2015,29312
TLE4,West Yorkshire,2015,59144
TLF1,Derbyshire and Nottinghamshire,2015,52890
TLF2,"Leicestershire, Rutland and Northamptonshire",2015,49338
TLF3,Lincolnshire,2015,16377
TLG1,"Herefordshire, Worcestershire and Warwickshire",2015,38416
TLG2,Shropshire and Staffordshire,2015,36960
TLG3,West Midlands,2015,72408
TLH2,Bedfordshire and Hertfordshire,2015,55621
TLH3,Essex,2015,44613
TLH4,Cambridgeshire and Peterborough,2015,26912
TLH5,Norfolk,2015,20796
TLH6,Suffolk,2015,19408
TLI3,Inner London - West,2015,209962
TLI4,Inner London - East,2015,117522
TLI5,Outer London - East and North East,2015,40616
TLI6,Outer London - South,2015,34550
TLI7,Outer London - West and North West,2015,72562
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2015,97869
TLJ2,"Surrey, East and West Sussex",2015,91443
TLJ3,Hampshire and Isle of Wight,2015,62865
TLJ4,Kent,2015,45695
TLK3,Cornwall and Isles of Scilly,2015,11445
TLK4,Devon,2015,27038
TLK5,West of England,2015,33163
TLK6,"North Somerset, Somerset and Dorset",2015,36828
TLK7,Gloucestershire and Wiltshire,2015,42594
TLL3,North Wales,2015,15518
TLL4,Mid and South West Wales,2015,18716
TLL5,South East Wales,2015,34935
TLM0,Eastern Scotland,2015,22261
TLM1,East Central Scotland,2015,37517
TLM2,Highlands and Islands,2015,13263
TLM3,West Central Scotland,2015,41473
TLM5,North Eastern Scotland,2015,21484
TLM9,Southern Scotland,2015,21163
TLN0,Northern Ireland,2015,44177
TLC3,Tees Valley,2016,15127
TLC4,"Northumberland, Durham and Tyne & Wear",2016,42854
TLD1,Cumbria,2016,12954
TLD3,Greater Manchester,2016,74303
TLD4,Lancashire,2016,37546
TLD6,Cheshire,2016,35207
TLD7,Merseyside,2016,36047
TLE1,East Yorkshire and Northern Lincolnshire,2016,22378
TLE2,North Yorkshire,2016,22944
TLE3,South Yorkshire,2016,29351
TLE4,West Yorkshire,2016,59538
TLF1,Derbyshire and Nottinghamshire,2016,53319
TLF2,"Leicestershire, Rutland and Northamptonshire",2016,50230
TLF3,Lincolnshire,2016,16429
TLG1,"Herefordshire, Worcestershire and Warwickshire",2016,38182
TLG2,Shropshire and Staffordshire,2016,37645
TLG3,West Midlands,2016,75609
TLH2,Bedfordshire and Hertfordshire,2016,56884
TLH3,Essex,2016,45816
TLH4,Cambridgeshire and Peterborough,2016,27541
TLH5,Norfolk,2016,20874
TLH6,Suffolk,2016,19867
TLI3,Inner London - West,2016,223651
TLI4,Inner London - East,2016,121191
TLI5,Outer London - East and North East,2016,41119
TLI6,Outer London - South,2016,35244
TLI7,Outer London - West and North West,2016,73938
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2016,97525
TLJ2,"Surrey, East and West Sussex",2016,91685
TLJ3,Hampshire and Isle of Wight,2016,62601
TLJ4,Kent,2016,46759
TLK3,Cornwall and Isles of Scilly,2016,11828
TLK4,Devon,2016,27558
TLK5,West of England,2016,34213
TLK6,"North Somerset, Somerset and Dorset",2016,37521
TLK7,Gloucestershire and Wiltshire,2016,42601
TLL3,North Wales,2016,15838
TLL4,Mid and South West Wales,2016,19318
TLL5,South East Wales,2016,35892
TLM0,Eastern Scotland,2016,22487
TLM1,East Central Scotland,2016,39319
TLM2,Highlands and Islands,2016,13240
TLM3,West Central Scotland,2016,41803
TLM5,North Eastern Scotland,2016,19750
TLM9,Southern Scotland,2016,21319
TLN0,Northern Ireland,2016,46116
TLC3,Tees Valley,2017,14918
TLC4,"Northumberland, Durham and Tyne & Wear",2017,44120
TLD1,Cumbria,2017,13072
TLD3,Greater Manchester,2017,78503
TLD4,Lancashire,2017,38030
TLD6,Cheshire,2017,36065
TLD7,Merseyside,2017,37001
TLE1,East Yorkshire and Northern Lincolnshire,2017,22817
TLE2,North Yorkshire,2017,23942
TLE3,South Yorkshire,2017,30159
TLE4,West Yorkshire,2017,61137
TLF1,Derbyshire and Nottinghamshire,2017,53968
TLF2,"Leicestershire, Rutland and Northamptonshire",2017,50739
TLF3,Lincolnshire,2017,17147
TLG1,"Herefordshire, Worcestershire and Warwickshire",2017,40849
TLG2,Shropshire and Staffordshire,2017,38736
TLG3,West Midlands,2017,77090
TLH2,Bedfordshire and Hertfordshire,2017,60610
TLH3,Essex,2017,48702
TLH4,Cambridgeshire and Peterborough,2017,28969
TLH5,Norfolk,2017,21553
TLH6,Suffolk,2017,20333
TLI3,Inner London - West,2017,229949
TLI4,Inner London - East,2017,124655
TLI5,Outer London - East and North East,2017,40836
TLI6,Outer London - South,2017,35183
TLI7,Outer London - West and North West,2017,74089
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2017,99535
TLJ2,"Surrey, East and West Sussex",2017,93563
TLJ3,Hampshire and Isle of Wight,2017,64642
TLJ4,Kent,2017,47636
TLK3,Cornwall and Isles of Scilly,2017,12695
TLK4,Devon,2017,28348
TLK5,West of England,2017,35233
TLK6,"North Somerset, Somerset and Dorset",2017,39033
TLK7,Gloucestershire and Wiltshire,2017,43838
TLL3,North Wales,2017,16240
TLL4,Mid and South West Wales,2017,19443
TLL5,South East Wales,2017,36734
TLM0,Eastern Scotland,2017,22980
TLM1,East Central Scotland,2017,41191
TLM2,Highlands and Islands,2017,13931
TLM3,West Central Scotland,2017,43678
TLM5,North Eastern Scotland,2017,19331
TLM9,Southern Scotland,2017,22039
TLN0,Northern Ireland,2017,47169
TLC3,Tees Valley,2018,15106
TLC4,"Northumberland, Durham and Tyne & Wear",2018,44288
TLD1,Cumbria,2018,13058
TLD3,Greater Manchester,2018,80810
TLD4,Lancashire,2018,37474
TLD6,Cheshire,2018,36385
TLD7,Merseyside,2018,36827
TLE1,East Yorkshire and Northern Lincolnshire,2018,23145
TLE2,North Yorkshire,2018,23657
TLE3,South Yorkshire,2018,29936
TLE4,West Yorkshire,2018,63279
TLF1,Derbyshire and Nottinghamshire,2018,54985
TLF2,"Leicestershire, Rutland and Northamptonshire",2018,52170
TLF3,Lincolnshire,2018,17287
TLG1,"Herefordshire, Worcestershire and Warwickshire",2018,41506
TLG2,Shropshire and Staffordshire,2018,39493
TLG3,West Midlands,2018,77852
TLH2,Bedfordshire and Hertfordshire,2018,60721
TLH3,Essex,2018,49119
TLH4,Cambridgeshire and Peterborough,2018,29387
TLH5,Norfolk,2018,20851
TLH6,Suffolk,2018,20443
TLI3,Inner London - West,2018,237383
TLI4,Inner London - East,2018,125863
TLI5,Outer London - East and North East,2018,41255
TLI6,Outer London - South,2018,35375
TLI7,Outer London - West and North West,2018,74682
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2018,103118
TLJ2,"Surrey, East and West Sussex",2018,94053
TLJ3,Hampshire and Isle of Wight,2018,65383
TLJ4,Kent,2018,48334
TLK3,Cornwall and Isles of Scilly,2018,12695
TLK4,Devon,2018,28180
TLK5,West of England,2018,34898
TLK6,"North Somerset, Somerset and Dorset",2018,39404
TLK7,Gloucestershire and Wiltshire,2018,44727
TLL3,North Wales,2018,16615
TLL4,Mid and South West Wales,2018,19786
TLL5,South East Wales,2018,37776
TLM0,Eastern Scotland,2018,22665
TLM1,East Central Scotland,2018,42119
TLM2,Highlands and Islands,2018,13828
TLM3,West Central Scotland,2018,43862
TLM5,North Eastern Scotland,2018,18776
TLM9,Southern Scotland,2018,21622
TLN0,Northern Ireland,2018,47460
TLC3,Tees Valley,2019,15178
TLC4,"Northumberland, Durham and Tyne & Wear",2019,45736
TLD1,Cumbria,2019,13498
TLD3,Greater Manchester,2019,82549
TLD4,Lancashire,2019,38124
TLD6,Cheshire,2019,37191
TLD7,Merseyside,2019,38181
TLE1,East Yorkshire and Northern Lincolnshire,2019,23662
TLE2,North Yorkshire,2019,23996
TLE3,South Yorkshire,2019,30434
TLE4,West Yorkshire,2019,63584
TLF1,Derbyshire and Nottinghamshire,2019,55668
TLF2,"Leicestershire, Rutland and Northamptonshire",2019,52407
TLF3,Lincolnshire,2019,17830
TLG1,"Herefordshire, Worcestershire and Warwickshire",2019,41175
TLG2,Shropshire and Staffordshire,2019,39668
TLG3,West Midlands,2019,77025
TLH2,Bedfordshire and Hertfordshire,2019,61856
TLH3,Essex,2019,48896
TLH4,Cambridgeshire and Peterborough,2019,29858
TLH5,Norfolk,2019,22241
TLH6,Suffolk,2019,21173
TLI3,Inner London - West,2019,242035
TLI4,Inner London - East,2019,126748
TLI5,Outer London - East and North East,2019,41657
TLI6,Outer London - South,2019,35627
TLI7,Outer London - West and North West,2019,74888
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2019,107111
TLJ2,"Surrey, East and West Sussex",2019,96347
TLJ3,Hampshire and Isle of Wight,2019,68065
TLJ4,Kent,2019,49714
TLK3,Cornwall and Isles of Scilly,2019,12809
TLK4,Devon,2019,28745
TLK5,West of England,2019,35978
TLK6,"North Somerset, Somerset and Dorset",2019,39945
TLK7,Gloucestershire and Wiltshire,2019,45766
TLL3,North Wales,2019,16894
TLL4,Mid and South West Wales,2019,19954
TLL5,South East Wales,2019,38566
TLM0,Eastern Scotland,2019,23181
TLM1,East Central Scotland,2019,42819
TLM2,Highlands and Islands,2019,14066
TLM3,West Central Scotland,2019,44871
TLM5,North Eastern Scotland,2019,18792
TLM9,Southern Scotland,2019,21707
TLN0,Northern Ireland,2019,49047
TLC3,Tees Valley,2020,13744
TLC4,"Northumberland, Durham and Tyne & Wear",2020,40223
TLD1,Cumbria,2020,11869
TLD3,Greater Manchester,2020,77516
TLD4,Lancashire,2020,34509
TLD6,Cheshire,2020,34407
TLD7,Merseyside,2020,34013
TLE1,East Yorkshire and Northern Lincolnshire,2020,21191
TLE2,North Yorkshire,2020,21722
TLE3,South Yorkshire,2020,28253
TLE4,West Yorkshire,2020,57219
TLF1,Derbyshire and Nottinghamshire,2020,52515
TLF2,"Leicestershire, Rutland and Northamptonshire",2020,46725
TLF3,Lincolnshire,2020,16160
TLG1,"Herefordshire, Worcestershire and Warwickshire",2020,38043
TLG2,Shropshire and Staffordshire,2020,36063
TLG3,West Midlands,2020,67233
TLH2,Bedfordshire and Hertfordshire,2020,55423
TLH3,Essex,2020,42544
TLH4,Cambridgeshire and Peterborough,2020,28099
TLH5,Norfolk,2020,20170
TLH6,Suffolk,2020,19127
TLI3,Inner London - West,2020,220028
TLI4,Inner London - East,2020,111005
TLI5,Outer London - East and North East,2020,34351
TLI6,Outer London - South,2020,30307
TLI7,Outer London - West and North West,2020,59401
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2020,103676
TLJ2,"Surrey, East and West Sussex",2020,88992
TLJ3,Hampshire and Isle of Wight,2020,62490
TLJ4,Kent,2020,46422
TLK3,Cornwall and Isles of Scilly,2020,11526
TLK4,Devon,2020,25117
TLK5,West of England,2020,33149
TLK6,"North Somerset, Somerset and Dorset",2020,36707
TLK7,Gloucestershire and Wiltshire,2020,41562
TLL3,North Wales,2020,15240
TLL4,Mid and South West Wales,2020,17533
TLL5,South East Wales,2020,35404
TLM0,Eastern Scotland,2020,20614
TLM1,East Central Scotland,2020,37953
TLM2,Highlands and Islands,2020,12522
TLM3,West Central Scotland,2020,40278
TLM5,North Eastern Scotland,2020,16435
TLM9,Southern Scotland,2020,19190
TLN0,Northern Ireland,2020,43793
TLC3,Tees Valley,2021,15006
TLC4,"Northumberland, Durham and Tyne & Wear",2021,44961
TLD1,Cumbria,2021,12547
TLD3,Greater Manchester,2021,84160
TLD4,Lancashire,2021,38512
TLD6,Cheshire,2021,36396
TLD7,Merseyside,2021,38237
TLE1,East Yorkshire and Northern Lincolnshire,2021,25436
TLE2,North Yorkshire,2021,24628
TLE3,South Yorkshire,2021,30825
TLE4,West Yorkshire,2021,64032
TLF1,Derbyshire and Nottinghamshire,2021,55877
TLF2,"Leicestershire, Rutland and Northamptonshire",2021,52380
TLF3,Lincolnshire,2021,17597
TLG1,"Herefordshire, Worcestershire and Warwickshire",2021,39912
TLG2,Shropshire and Staffordshire,2021,41723
TLG3,West Midlands,2021,73580
TLH2,Bedfordshire and Hertfordshire,2021,60807
TLH3,Essex,2021,48182
TLH4,Cambridgeshire and Peterborough,2021,30055
TLH5,Norfolk,2021,21847
TLH6,Suffolk,2021,20473
TLI3,Inner London - West,2021,239991
TLI4,Inner London - East,2021,118738
TLI5,Outer London - East and North East,2021,38451
TLI6,Outer London - South,2021,31911
TLI7,Outer London - West and North West,2021,61311
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2021,109705
TLJ2,"Surrey, East and West Sussex",2021,93252
TLJ3,Hampshire and Isle of Wight,2021,66168
TLJ4,Kent,2021,48966
TLK3,Cornwall and Isles of Scilly,2021,13378
TLK4,Devon,2021,29885
TLK5,West of England,2021,37360
TLK6,"North Somerset, Somerset and Dorset",2021,39878
TLK7,Gloucestershire and Wiltshire,2021,45082
TLL3,North Wales,2021,16606
TLL4,Mid and South West Wales,2021,18542
TLL5,South East Wales,2021,37260
TLM0,Eastern Scotland,2021,22431
TLM1,East Central Scotland,2021,41916
TLM2,Highlands and Islands,2021,13456
TLM3,West Central Scotland,2021,45195
TLM5,North Eastern Scotland,2021,16874
TLM9,Southern Scotland,2021,20678
TLN0,Northern Ireland,2021,49270
TLC3,Tees Valley,2022,15708
TLC4,"Northumberland, Durham and Tyne & Wear",2022,46656
TLD1,Cumbria,2022,13736
TLD3,Greater Manchester,2022,91098
TLD4,Lancashire,2022,39584
TLD6,Cheshire,2022,37783
TLD7,Merseyside,2022,39644
TLE1,East Yorkshire and Northern Lincolnshire,2022,25007
TLE2,North Yorkshire,2022,25762
TLE3,South Yorkshire,2022,32458
TLE4,West Yorkshire,2022,67457
TLF1,Derbyshire and Nottinghamshire,2022,56927
TLF2,"Leicestershire, Rutland and Northamptonshire",2022,53785
TLF3,Lincolnshire,2022,17542
TLG1,"Herefordshire, Worcestershire and Warwickshire",2022,42288
TLG2,Shropshire and Staffordshire,2022,40557
TLG3,West Midlands,2022,76115
TLH2,Bedfordshire and Hertfordshire,2022,62995
TLH3,Essex,2022,50685
TLH4,Cambridgeshire and Peterborough,2022,30695
TLH5,Norfolk,2022,22195
TLH6,Suffolk,2022,21037
TLI3,Inner London - West,2022,254288
TLI4,Inner London - East,2022,130328
TLI5,Outer London - East and North East,2022,41200
TLI6,Outer London - South,2022,33975
TLI7,Outer London - West and North West,2022,69980
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2022,111615
TLJ2,"Surrey, East and West Sussex",2022,97570
TLJ3,Hampshire and Isle of Wight,2022,66842
TLJ4,Kent,2022,50117
TLK3,Cornwall and Isles of Scilly,2022,13532
TLK4,Devon,2022,30709
TLK5,West of England,2022,38792
TLK6,"North Somerset, Somerset and Dorset",2022,40901
TLK7,Gloucestershire and Wiltshire,2022,46689
TLL3,North Wales,2022,17093
TLL4,Mid and South West Wales,2022,19480
TLL5,South East Wales,2022,38404
TLM0,Eastern Scotland,2022,23024
TLM1,East Central Scotland,2022,44558
TLM2,Highlands and Islands,2022,14165
TLM3,West Central Scotland,2022,46835
TLM5,North Eastern Scotland,2022,17027
TLM9,Southern Scotland,2022,21256
TLN0,Northern Ireland,2022,50701
TLC3,Tees Valley,2023,15470
TLC4,"Northumberland, Durham and Tyne & Wear",2023,48025
TLD1,Cumbria,2023,13870
TLD3,Greater Manchester,2023,92220
TLD4,Lancashire,2023,39573
TLD6,Cheshire,2023,38323
TLD7,Merseyside,2023,39873
TLE1,East Yorkshire and Northern Lincolnshire,2023,24733
TLE2,North Yorkshire,2023,26077
TLE3,South Yorkshire,2023,32364
TLE4,West Yorkshire,2023,67721
TLF1,Derbyshire and Nottinghamshire,2023,56621
TLF2,"Leicestershire, Rutland and Northamptonshire",2023,54280
TLF3,Lincolnshire,2023,17637
TLG1,"Herefordshire, Worcestershire and Warwickshire",2023,43617
TLG2,Shropshire and Staffordshire,2023,40241
TLG3,West Midlands,2023,76889
TLH2,Bedfordshire and Hertfordshire,2023,63718
TLH3,Essex,2023,50588
TLH4,Cambridgeshire and Peterborough,2023,31433
TLH5,Norfolk,2023,22474
TLH6,Suffolk,2023,21076
TLI3,Inner London - West,2023,255763
TLI4,Inner London - East,2023,132388
TLI5,Outer London - East and North East,2023,40388
TLI6,Outer London - South,2023,34028
TLI7,Outer London - West and North West,2023,68965
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2023,111262
TLJ2,"Surrey, East and West Sussex",2023,97760
TLJ3,Hampshire and Isle of Wight,2023,66735
TLJ4,Kent,2023,50300
TLK3,Cornwall and Isles of Scilly,2023,13292
TLK4,Devon,2023,30450
TLK5,West of England,2023,39970
TLK6,"North Somerset, Somerset and Dorset",2023,41148
TLK7,Gloucestershire and Wiltshire,2023,46005
TLL3,North Wales,2023,17414
TLL4,Mid and South West Wales,2023,19298
TLL5,South East Wales,2023,38183
TLM0,Eastern Scotland,2023,22789
TLM1,East Central Scotland,2023,45330
TLM2,Highlands and Islands,2023,14214
TLM3,West Central Scotland,2023,47410
TLM5,North Eastern Scotland,2023,16993
TLM9,Southern Scotland,2023,21521
TLN0,Northern Ireland,2023,51465
