itl2_code,itl2_name,year,affordability_ratio_workplace
TLK3,Cornwall and Isles of Scilly,1999,
TLK4,Devon,1999,4.654999999999999
TLK5,West of England,1999,4.003333333333333
TLK6,"North Somerset, Somerset and Dorset",1999,4.04
TLK7,Gloucestershire and Wiltshire,1999,4.29
TLL3,North Wales,1999,3.171666666666667
TLL4,Mid and South West Wales,1999,3.3816666666666664
TLL5,South East Wales,1999,3.065
TLC3,Tees Valley,2000,2.852
TLC4,"Northumberland, Durham and Tyne & Wear",2000,2.9925
TLD1,Cumbria,2000,
TLD3,Greater Manchester,2000,3.0469999999999997
TLD4,Lancashire,2000,3.0885714285714285
TLD6,Cheshire,2000,3.6
TLD7,Merseyside,2000,3.0199999999999996
TLE1,East Yorkshire and Northern Lincolnshire,2000,2.6174999999999997
TLE2,North Yorkshire,2000,3.72
TLE3,South Yorkshire,2000,2.795
TLE4,West Yorkshire,2000,3.0040000000000004
TLF1,Derbyshire and Nottinghamshire,2000,3.4735294117647064
TLF2,"Leicestershire, Rutland and Northamptonshire",2000,4.085555555555556
TLF3,Lincolnshire,2000,3.5085714285714285
TLG1,"Herefordshire, Worcestershire and Warwickshire",2000,4.800833333333332
TLG2,Shropshire and Staffordshire,2000,3.59
TLG3,West Midlands,2000,3.3557142857142854
TLH2,Bedfordshire and Hertfordshire,2000,5.2212499999999995
TLH3,Essex,2000,4.906428571428571
TLH4,Cambridgeshire and Peterborough,2000,4.523333333333333
TLH5,Norfolk,2000,3.7971428571428576
TLH6,Suffolk,2000,4.703333333333333
TLI3,Inner London - West,2000,9.115
TLI4,Inner London - East,2000,5.66375
TLI5,Outer London - East and North East,2000,4.848571428571428
TLI6,Outer London - South,2000,6.4319999999999995
TLI7,Outer London - West and North West,2000,6.467142857142856
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2000,5.786153846153846
TLJ2,"Surrey, East and West Sussex",2000,6.219999999999998
TLJ3,Hampshire and Isle of Wight,2000,5.288571428571429
TLJ4,Kent,2000,4.905384615384616
TLK3,Cornwall and Isles of Scilly,2000,
TLK4,Devon,2000,4.987
TLK5,West of England,2000,4.483333333333333
TLK6,"North Somerset, Somerset and Dorset",2000,4.48
TLK7,Gloucestershire and Wiltshire,2000,4.711428571428572
TLL3,North Wales,2000,3.3333333333333335
TLL4,Mid and South West Wales,2000,3.3699999999999997
TLL5,South East Wales,2000,3.222
TLC3,Tees Valley,2001,2.7960000000000003
TLC4,"Northumberland, Durham and Tyne & Wear",2001,2.98
TLD1,Cumbria,2001,
TLD3,Greater Manchester,2001,3.13
TLD4,Lancashire,2001,3.1071428571428568
TLD6,Cheshire,2001,3.75
TLD7,Merseyside,2001,3.1333333333333333
TLE1,East Yorkshire and Northern Lincolnshire,2001,2.7325
TLE2,North Yorkshire,2001,4.27
TLE3,South Yorkshire,2001,2.8075
TLE4,West Yorkshire,2001,3.0279999999999996
TLF1,Derbyshire and Nottinghamshire,2001,3.57764705882353
TLF2,"Leicestershire, Rutland and Northamptonshire",2001,4.419999999999999
TLF3,Lincolnshire,2001,3.9171428571428573
TLG1,"Herefordshire, Worcestershire and Warwickshire",2001,5.154166666666666
TLG2,Shropshire and Staffordshire,2001,3.843
TLG3,West Midlands,2001,3.5442857142857145
TLH2,Bedfordshire and Hertfordshire,2001,5.6362499999999995
TLH3,Essex,2001,5.372857142857142
TLH4,Cambridgeshire and Peterborough,2001,5.028333333333333
TLH5,Norfolk,2001,4.277142857142858
TLH6,Suffolk,2001,4.823333333333333
