itl2_code,itl2_name,year,median_price,n_sales
TLI7,Outer London - West and North West,1997,92000.0,36175
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",1997,82500.0,52022
TLJ2,"Surrey, East and West Sussex",1997,79500.0,70700
TLJ3,Hampshire and Isle of Wight,1997,68000.0,45477
TLJ4,Kent,1997,62500.0,34350
TLK3,Cornwall and Isles of Scilly,1997,56000.0,12424
TLK4,Devon,1997,57500.0,26332
TLK5,West of England,1997,59950.0,18278
TLK6,"North Somerset, Somerset and Dorset",1997,65000.0,37003
TLK7,Gloucestershire and Wiltshire,1997,64500.0,29426
TLL3,North Wales,1997,47950.0,11446
TLL4,Mid and South West Wales,1997,46000.0,12535
TLL5,South East Wales,1997,48500.0,23679
TLM9,Southern Scotland,1997,361000.0,1
TLC3,Tees Valley,1998,47350.0,10650
TLC4,"Northumberland, Durham and Tyne & Wear",1998,48500.0,31309
TLD1,Cumbria,1998,52250.0,9485
TLD3,Greater Manchester,1998,48500.0,42144
TLD4,Lancashire,1998,48000.0,27974
TLD6,Cheshire,1998,64950.0,17016
TLD7,Merseyside,1998,47500.0,22925
TLE1,East Yorkshire and Northern Lincolnshire,1998,44675.0,16138
TLE2,North Yorkshire,1998,62000.0,14682
TLE3,South Yorkshire,1998,44995.0,19360
TLE4,West Yorkshire,1998,50000.0,37282
TLF1,Derbyshire and Nottinghamshire,1998,49995.0,36463
TLF2,"Leicestershire, Rutland and Northamptonshire",1998,58000.0,33630
TLF3,Lincolnshire,1998,51500.0,14834
TLG1,"Herefordshire, Worcestershire and Warwickshire",1998,69500.0,25118
TLG2,Shropshire and Staffordshire,1998,55000.0,27248
TLG3,West Midlands,1998,52000.0,38210
TLH2,Bedfordshire and Hertfordshire,1998,82000.0,37126
TLH3,Essex,1998,70000.0,38323
TLH4,Cambridgeshire and Peterborough,1998,67000.0,16059
TLH5,Norfolk,1998,55000.0,18247
TLH6,Suffolk,1998,59000.0,15002
TLI3,Inner London - West,1998,160000.0,25165
TLI4,Inner London - East,1998,89000.0,34073
TLI5,Outer London - East and North East,1998,77995.0,29650
TLI6,Outer London - South,1998,91000.0,26005
TLI7,Outer London - West and North West,1998,106000.0,33867
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",1998,92000.0,48728
TLJ2,"Surrey, East and West Sussex",1998,89000.0,65451
TLJ3,Hampshire and Isle of Wight,1998,75000.0,42765
TLJ4,Kent,1998,68250.0,31871
TLK3,Cornwall and Isles of Scilly,1998,59000.0,11571
TLK4,Devon,1998,59999.0,24884
TLK5,West of England,1998,65250.0,18425
TLK6,"North Somerset, Somerset and Dorset",1998,71000.0,34964
TLK7,Gloucestershire and Wiltshire,1998,70000.0,28423
TLL3,North Wales,1998,49250.0,10417
TLL4,Mid and South West Wales,1998,48000.0,12367
TLL5,South East Wales,1998,50000.0,22143
TLC3,Tees Valley,1999,49000.0,11567
TLC4,"Northumberland, Durham and Tyne & Wear",1999,51500.0,32955
TLD1,Cumbria,1999,55000.0,10362
TLD3,Greater Manchester,1999,51000.0,47859
TLD4,Lancashire,1999,50500.0,29450
TLD6,Cheshire,1999,69500.0,19418
TLD7,Merseyside,1999,50000.0,24963
TLE1,East Yorkshire and Northern Lincolnshire,1999,47500.0,16922
TLE2,North Yorkshire,1999,65500.0,17811
TLE3,South Yorkshire,1999,47000.0,21151
TLE4,West Yorkshire,1999,52995.0,42174
TLF1,Derbyshire and Nottinghamshire,1999,54000.0,41205
TLF2,"Leicestershire, Rutland and Northamptonshire",1999,62000.0,38542
TLF3,Lincolnshire,1999,54500.0,17169
TLG1,"Herefordshire, Worcestershire and Warwickshire",1999,77000.0,29408
TLG2,Shropshire and Staffordshire,1999,59000.0,30655
TLG3,West Midlands,1999,55000.0,43095
TLH2,Bedfordshire and Hertfordshire,1999,90000.0,43329
TLH3,Essex,1999,77000.0,44715
TLH4,Cambridgeshire and Peterborough,1999,74176.5,18752
TLH5,Norfolk,1999,59950.0,20908
TLH6,Suffolk,1999,65000.0,17207
TLI3,Inner London - West,1999,195000.0,30628
TLI4,Inner London - East,1999,110000.0,38745
TLI5,Outer London - East and North East,1999,86900.0,33956
TLI6,Outer London - South,1999,108000.0,29520
TLI7,Outer London - West and North West,1999,125950.0,39294
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",1999,106500.0,57232
TLJ2,"Surrey, East and West Sussex",1999,100000.0,74485
TLJ3,Hampshire and Isle of Wight,1999,84000.0,48833
TLJ4,Kent,1999,74500.0,36001
TLK3,Cornwall and Isles of Scilly,1999,65950.0,13173
TLK4,Devon,1999,66000.0,29508
TLK5,West of England,1999,74250.0,20699
TLK6,"North Somerset, Somerset and Dorset",1999,79000.0,41009
TLK7,Gloucestershire and Wiltshire,1999,78950.0,32446
TLL3,North Wales,1999,52000.0,11158
TLL4,Mid and South West Wales,1999,50000.0,13574
TLL5,South East Wales,1999,55000.0,24467
TLM9,Southern Scotland,1999,36000.0,1
TLC3,Tees Valley,2000,50995.0,12722
TLC4,"Northumberland, Durham and Tyne & Wear",2000,52500.0,34408
TLD1,Cumbria,2000,59000.0,10336
TLD3,Greater Manchester,2000,54000.0,48859
TLD4,Lancashire,2000,52500.0,31772
TLD6,Cheshire,2000,75000.0,19514
TLD7,Merseyside,2000,53950.0,25716
TLE1,East Yorkshire and Northern Lincolnshire,2000,49500.0,18548
TLE2,North Yorkshire,2000,75000.0,17637
TLE3,South Yorkshire,2000,48950.0,22439
TLE4,West Yorkshire,2000,55500.0,42097
TLF1,Derbyshire and Nottinghamshire,2000,57000.0,41178
TLF2,"Leicestershire, Rutland and Northamptonshire",2000,69000.0,37691
TLF3,Lincolnshire,2000,59950.0,17069
TLG1,"Herefordshire, Worcestershire and Warwickshire",2000,85950.0,27102
TLG2,Shropshire and Staffordshire,2000,63000.0,29656
TLG3,West Midlands,2000,59500.0,43929
TLH2,Bedfordshire and Hertfordshire,2000,107000.0,36950
TLH3,Essex,2000,87500.0,40333
TLH4,Cambridgeshire and Peterborough,2000,84350.0,17442
TLH5,Norfolk,2000,69000.0,19000
TLH6,Suffolk,2000,75000.0,15659
TLI3,Inner London - West,2000,234000.0,26196
TLI4,Inner London - East,2000,132500.0,36580
TLI5,Outer London - East and North East,2000,103500.0,30753
TLI6,Outer London - South,2000,129500.0,24890
TLI7,Outer London - West and North West,2000,146000.0,33851
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2000,125000.0,48676
TLJ2,"Surrey, East and West Sussex",2000,122500.0,64571
TLJ3,Hampshire and Isle of Wight,2000,98000.0,42490
TLJ4,Kent,2000,86000.0,34362
TLK3,Cornwall and Isles of Scilly,2000,75000.0,12659
TLK4,Devon,2000,75000.0,28380
TLK5,West of England,2000,85000.0,17694
TLK6,"North Somerset, Somerset and Dorset",2000,91000.0,35988
TLK7,Gloucestershire and Wiltshire,2000,90000.0,27476
TLL3,North Wales,2000,56000.0,12975
TLL4,Mid and South West Wales,2000,53000.0,14538
TLL5,South East Wales,2000,58950.0,26557
TLC3,Tees Valley,2001,54000.0,14982
TLC4,"Northumberland, Durham and Tyne & Wear",2001,55000.0,38264
TLD1,Cumbria,2001,60000.0,11159
TLD3,Greater Manchester,2001,58500.0,52918
TLD4,Lancashire,2001,56000.0,36155
TLD6,Cheshire,2001,85000.0,20677
TLD7,Merseyside,2001,59000.0,26201
TLE1,East Yorkshire and Northern Lincolnshire,2001,52700.0,21902
TLE2,North Yorkshire,2001,84000.0,18555
TLE3,South Yorkshire,2001,53000.0,25387
TLE4,West Yorkshire,2001,59000.0,47067
TLF1,Derbyshire and Nottinghamshire,2001,62500.0,45686
TLF2,"Leicestershire, Rutland and Northamptonshire",2001,78500.0,41603
TLF3,Lincolnshire,2001,67500.0,19349
TLG1,"Herefordshire, Worcestershire and Warwickshire",2001,95000.0,29974
TLG2,Shropshire and Staffordshire,2001,71000.0,31586
TLG3,West Midlands,2001,67000.0,47396
TLH2,Bedfordshire and Hertfordshire,2001,122000.0,42029
TLH3,Essex,2001,102000.0,43932
TLH4,Cambridgeshire and Peterborough,2001,93000.0,19597
TLH5,Norfolk,2001,80000.0,21171
TLH6,Suffolk,2001,85000.0,17621
TLI3,Inner London - West,2001,249950.0,26019
TLI4,Inner London - East,2001,151000.0,38818
TLI5,Outer London - East and North East,2001,121000.0,36336
TLI6,Outer London - South,2001,145000.0,28134
TLI7,Outer London - West and North West,2001,165000.0,36268
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2001,139000.0,54763
TLJ2,"Surrey, East and West Sussex",2001,137000.0,71366
TLJ3,Hampshire and Isle of Wight,2001,115000.0,46095
TLJ4,Kent,2001,98950.0,39203
TLK3,Cornwall and Isles of Scilly,2001,85000.0,13428
TLK4,Devon,2001,87000.0,30142
TLK5,West of England,2001,97500.0,20046
TLK6,"North Somerset, Somerset and Dorset",2001,104500.0,40803
TLK7,Gloucestershire and Wiltshire,2001,105000.0,30312
TLL3,North Wales,2001,59950.0,14063
TLL4,Mid and South West Wales,2001,57475.0,15914
TLL5,South East Wales,2001,64000.0,30052
TLC3,Tees Valley,2002,59950.0,17270
TLC4,"Northumberland, Durham and Tyne & Wear",2002,63000.0,42631
TLD1,Cumbria,2002,71950.0,12385
TLD3,Greater Manchester,2002,68500.0,61883
TLD4,Lancashire,2002,61950.0,41654
TLD6,Cheshire,2002,98750.0,23560
TLD7,Merseyside,2002,67000.0,30258
TLE1,East Yorkshire and Northern Lincolnshire,2002,59950.0,24280
TLE2,North Yorkshire,2002,105000.0,20113
TLE3,South Yorkshire,2002,60000.0,27848
TLE4,West Yorkshire,2002,68500.0,53046
TLF1,Derbyshire and Nottinghamshire,2002,76500.0,49926
TLF2,"Leicestershire, Rutland and Northamptonshire",2002,94000.0,44433
TLF3,Lincolnshire,2002,83500.0,20443
TLG1,"Herefordshire, Worcestershire and Warwickshire",2002,118000.0,33045
TLG2,Shropshire and Staffordshire,2002,82000.0,35488
TLG3,West Midlands,2002,80500.0,52071
TLH2,Bedfordshire and Hertfordshire,2002,142995.0,45024
TLH3,Essex,2002,128000.0,45678
TLH4,Cambridgeshire and Peterborough,2002,116000.0,20613
TLH5,Norfolk,2002,102000.0,20982
TLH6,Suffolk,2002,108000.0,17892
TLI3,Inner London - West,2002,280000.0,28080
TLI4,Inner London - East,2002,175000.0,39969
TLI5,Outer London - East and North East,2002,145600.0,38641
TLI6,Outer London - South,2002,170000.0,31043
TLI7,Outer London - West and North West,2002,193000.0,39251
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2002,162950.0,56535
TLJ2,"Surrey, East and West Sussex",2002,160000.0,76295
TLJ3,Hampshire and Isle of Wight,2002,136000.0,49151
TLJ4,Kent,2002,123000.0,43854
TLK3,Cornwall and Isles of Scilly,2002,114950.0,13855
TLK4,Devon,2002,113000.0,31142
TLK5,West of England,2002,123000.0,20281
TLK6,"North Somerset, Somerset and Dorset",2002,130000.0,42553
TLK7,Gloucestershire and Wiltshire,2002,125000.0,31962
TLL3,North Wales,2002,71000.0,15861
TLL4,Mid and South West Wales,2002,64950.0,17730
TLL5,South East Wales,2002,75000.0,33993
TLC3,Tees Valley,2003,72950.0,16734
TLC4,"Northumberland, Durham and Tyne & Wear",2003,79950.0,43929
TLD1,Cumbria,2003,86950.0,12104
TLD3,Greater Manchester,2003,82500.0,60862
TLD4,Lancashire,2003,78000.0,40563
TLD6,Cheshire,2003,122000.0,21673
TLD7,Merseyside,2003,81750.0,32327
TLE1,East Yorkshire and Northern Lincolnshire,2003,75000.0,23881
TLE2,North Yorkshire,2003,129950.0,18480
TLE3,South Yorkshire,2003,77950.0,27779
TLE4,West Yorkshire,2003,86000.0,51595
TLF1,Derbyshire and Nottinghamshire,2003,95000.0,45910
TLF2,"Leicestershire, Rutland and Northamptonshire",2003,118000.0,39678
TLF3,Lincolnshire,2003,105000.0,18446
TLG1,"Herefordshire, Worcestershire and Warwickshire",2003,137000.0,28969
TLG2,Shropshire and Staffordshire,2003,99000.0,32886
TLG3,West Midlands,2003,98000.0,48729
TLH2,Bedfordshire and Hertfordshire,2003,166000.0,38339
TLH3,Essex,2003,150000.0,40698
TLH4,Cambridgeshire and Peterborough,2003,135000.0,18490
TLH5,Norfolk,2003,125000.0,19110
TLH6,Suffolk,2003,127000.0,16845
TLI3,Inner London - West,2003,285000.0,22725
TLI4,Inner London - East,2003,190000.0,34174
TLI5,Outer London - East and North East,2003,170000.0,34604
TLI6,Outer London - South,2003,190000.0,26237
TLI7,Outer London - West and North West,2003,219000.0,34709
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2003,180000.0,49121
TLJ2,"Surrey, East and West Sussex",2003,184995.0,64898
TLJ3,Hampshire and Isle of Wight,2003,157500.0,42845
TLJ4,Kent,2003,142500.0,38876
TLK3,Cornwall and Isles of Scilly,2003,143000.0,12306
TLK4,Devon,2003,135000.0,27723
TLK5,West of England,2003,141997.0,17850
TLK6,"North Somerset, Somerset and Dorset",2003,154000.0,37701
TLK7,Gloucestershire and Wiltshire,2003,143000.0,28646
TLL3,North Wales,2003,90000.0,14274
TLL4,Mid and South West Wales,2003,82500.0,17493
TLL5,South East Wales,2003,89950.0,32239
TLC3,Tees Valley,2004,86547.5,15852
TLC4,"Northumberland, Durham and Tyne & Wear",2004,99950.0,42310
TLD1,Cumbria,2004,107000.0,11341
TLD3,Greater Manchester,2004,102500.0,60461
TLD4,Lancashire,2004,95000.0,39460
TLD6,Cheshire,2004,144950.0,20788
TLD7,Merseyside,2004,105000.0,31022
TLE1,East Yorkshire and Northern Lincolnshire,2004,91000.0,22809
TLE2,North Yorkshire,2004,155000.0,17769
TLE3,South Yorkshire,2004,98000.0,26272
TLE4,West Yorkshire,2004,107995.0,51025
TLF1,Derbyshire and Nottinghamshire,2004,117500.0,45253
TLF2,"Leicestershire, Rutland and Northamptonshire",2004,135000.0,39312
TLF3,Lincolnshire,2004,128000.0,18004
TLG1,"Herefordshire, Worcestershire and Warwickshire",2004,158500.0,28565
TLG2,Shropshire and Staffordshire,2004,120500.0,32898
TLG3,West Midlands,2004,119000.0,48629
TLH2,Bedfordshire and Hertfordshire,2004,182000.0,40092
TLH3,Essex,2004,167500.0,42023
TLH4,Cambridgeshire and Peterborough,2004,151500.0,18252
TLH5,Norfolk,2004,140000.0,19445
TLH6,Suffolk,2004,146000.0,16767
TLI3,Inner London - West,2004,315000.0,25058
TLI4,Inner London - East,2004,210000.0,37334
TLI5,Outer London - East and North East,2004,185000.0,34716
TLI6,Outer London - South,2004,210000.0,27545
TLI7,Outer London - West and North West,2004,235000.0,34860
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2004,195000.0,51525
TLJ2,"Surrey, East and West Sussex",2004,200000.0,66874
TLJ3,Hampshire and Isle of Wight,2004,174950.0,44499
TLJ4,Kent,2004,161950.0,39883
TLK3,Cornwall and Isles of Scilly,2004,168000.0,11866
TLK4,Devon,2004,158500.0,26266
TLK5,West of England,2004,155000.0,18680
TLK6,"North Somerset, Somerset and Dorset",2004,174950.0,37483
TLK7,Gloucestershire and Wiltshire,2004,160000.0,29021
TLL3,North Wales,2004,118150.0,12892
TLL4,Mid and South West Wales,2004,112000.0,14931
TLL5,South East Wales,2004,115000.0,29403
TLC3,Tees Valley,2005,100000.0,13342
TLC4,"Northumberland, Durham and Tyne & Wear",2005,110000.0,36834
TLD1,Cumbria,2005,120000.0,9961
TLD3,Greater Manchester,2005,116950.0,50555
TLD4,Lancashire,2005,106775.0,32822
TLD6,Cheshire,2005,150000.0,17057
TLD7,Merseyside,2005,117000.0,24426
TLE1,East Yorkshire and Northern Lincolnshire,2005,103500.0,18977
TLE2,North Yorkshire,2005,164995.0,15345
TLE3,South Yorkshire,2005,109950.0,24134
TLE4,West Yorkshire,2005,119000.0,44403
TLF1,Derbyshire and Nottinghamshire,2005,123000.0,38674
TLF2,"Leicestershire, Rutland and Northamptonshire",2005,140000.0,34065
TLF3,Lincolnshire,2005,132500.0,14763
