itl2_code,itl2_name,year,affordability_ratio_residence
TLJ4,Kent,2004,6.924615384615383
TLK3,Cornwall and Isles of Scilly,2004,8.81
TLK4,Devon,2004,8.278
TLK5,West of England,2004,6.993333333333332
TLK6,"North Somerset, Somerset and Dorset",2004,8.1025
TLK7,Gloucestershire and Wiltshire,2004,7.28125
TLL3,North Wales,2004,5.538333333333333
TLL4,Mid and South West Wales,2004,5.9816666666666665
TLL5,South East Wales,2004,4.758
TLC3,Tees Valley,2005,4.542
TLC4,"Northumberland, Durham and Tyne & Wear",2005,5.405714285714285
TLD1,Cumbria,2005,5.48
TLD3,Greater Manchester,2005,5.218
TLD4,Lancashire,2005,5.0792857142857155
TLD6,Cheshire,2005,5.983333333333333
TLD7,Merseyside,2005,5.495
TLE1,East Yorkshire and Northern Lincolnshire,2005,4.375
TLE2,North Yorkshire,2005,7.125
TLE3,South Yorkshire,2005,4.97
TLE4,West Yorkshire,2005,5.394
TLF1,Derbyshire and Nottinghamshire,2005,5.724117647058823
TLF2,"Leicestershire, Rutland and Northamptonshire",2005,6.524545454545454
TLF3,Lincolnshire,2005,6.484285714285714
TLG1,"Herefordshire, Worcestershire and Warwickshire",2005,7.03
TLG2,Shropshire and Staffordshire,2005,5.935454545454546
TLG3,West Midlands,2005,6.014285714285715
TLH2,Bedfordshire and Hertfordshire,2005,7.25076923076923
TLH3,Essex,2005,7.158571428571428
TLH4,Cambridgeshire and Peterborough,2005,7.120000000000001
TLH5,Norfolk,2005,7.320000000000001
TLH6,Suffolk,2005,7.3180000000000005
TLI3,Inner London - West,2005,10.366
TLI4,Inner London - East,2005,8.18375
TLI5,Outer London - East and North East,2005,7.337142857142857
TLI6,Outer London - South,2005,7.68
TLI7,Outer London - West and North West,2005,8.71142857142857
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2005,7.754615384615385
TLJ2,"Surrey, East and West Sussex",2005,8.216666666666669
TLJ3,Hampshire and Isle of Wight,2005,7.582142857142857
TLJ4,Kent,2005,7.176923076923078
TLK3,Cornwall and Isles of Scilly,2005,9.21
TLK4,Devon,2005,8.822999999999999
TLK5,West of England,2005,7.343333333333334
TLK6,"North Somerset, Somerset and Dorset",2005,8.087499999999999
TLK7,Gloucestershire and Wiltshire,2005,7.496249999999998
TLL3,North Wales,2005,6.256666666666667
TLL4,Mid and South West Wales,2005,6.489999999999999
TLL5,South East Wales,2005,5.248
TLC3,Tees Valley,2006,5.288
TLC4,"Northumberland, Durham and Tyne & Wear",2006,5.842857142857143
TLD1,Cumbria,2006,5.855
TLD3,Greater Manchester,2006,5.641
TLD4,Lancashire,2006,5.533571428571428
TLD6,Cheshire,2006,6.080000000000001
TLD7,Merseyside,2006,5.851666666666667
TLE1,East Yorkshire and Northern Lincolnshire,2006,4.8
TLE2,North Yorkshire,2006,7.455
TLE3,South Yorkshire,2006,5.295
TLE4,West Yorkshire,2006,5.668000000000001
TLF1,Derbyshire and Nottinghamshire,2006,5.85529411764706
TLF2,"Leicestershire, Rutland and Northamptonshire",2006,6.714545454545453
TLF3,Lincolnshire,2006,6.525714285714286
TLG1,"Herefordshire, Worcestershire and Warwickshire",2006,7.177500000000001
TLG2,Shropshire and Staffordshire,2006,6.119999999999999
TLG3,West Midlands,2006,6.1000000000000005
TLH2,Bedfordshire and Hertfordshire,2006,7.449999999999999
TLH3,Essex,2006,7.173571428571429
TLH4,Cambridgeshire and Peterborough,2006,7.073333333333334
TLH5,Norfolk,2006,7.495714285714286
TLH6,Suffolk,2006,7.06
TLI3,Inner London - West,2006,10.8
TLI4,Inner London - East,2006,8.511249999999999
TLI5,Outer London - East and North East,2006,7.327142857142857
TLI6,Outer London - South,2006,7.83
TLI7,Outer London - West and North West,2006,9.122857142857145
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2006,7.875384615384615
TLJ2,"Surrey, East and West Sussex",2006,8.360416666666666
TLJ3,Hampshire and Isle of Wight,2006,7.5807142857142855
TLJ4,Kent,2006,7.28923076923077
TLK3,Cornwall and Isles of Scilly,2006,9.26
TLK4,Devon,2006,8.869000000000002
TLK5,West of England,2006,7.376666666666666
TLK6,"North Somerset, Somerset and Dorset",2006,8.1275
TLK7,Gloucestershire and Wiltshire,2006,7.458750000000001
TLL3,North Wales,2006,6.614999999999999
TLL4,Mid and South West Wales,2006,6.841666666666666
TLL5,South East Wales,2006,5.539999999999999
TLC3,Tees Valley,2007,5.328
TLC4,"Northumberland, Durham and Tyne & Wear",2007,5.95857142857143
TLD1,Cumbria,2007,6.11
TLD3,Greater Manchester,2007,5.745
TLD4,Lancashire,2007,5.767142857142857
TLD6,Cheshire,2007,6.353333333333333
TLD7,Merseyside,2007,5.808333333333334
TLE1,East Yorkshire and Northern Lincolnshire,2007,4.975
TLE2,North Yorkshire,2007,7.470000000000001
TLE3,South Yorkshire,2007,5.4825
TLE4,West Yorkshire,2007,5.8740000000000006
TLF1,Derbyshire and Nottinghamshire,2007,6.080000000000001
TLF2,"Leicestershire, Rutland and Northamptonshire",2007,6.9363636363636365
TLF3,Lincolnshire,2007,6.821428571428571
TLG1,"Herefordshire, Worcestershire and Warwickshire",2007,7.325833333333333
TLG2,Shropshire and Staffordshire,2007,6.329999999999999
TLG3,West Midlands,2007,6.217142857142858
TLH2,Bedfordshire and Hertfordshire,2007,7.687692307692308
TLH3,Essex,2007,7.376428571428569
TLH4,Cambridgeshire and Peterborough,2007,7.421666666666667
TLH5,Norfolk,2007,7.845714285714286
TLH6,Suffolk,2007,7.578
TLI3,Inner London - West,2007,12.388
TLI4,Inner London - East,2007,8.983749999999999
TLI5,Outer London - East and North East,2007,7.685714285714285
TLI6,Outer London - South,2007,8.139999999999999
TLI7,Outer London - West and North West,2007,9.547142857142857
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2007,8.26923076923077
TLJ2,"Surrey, East and West Sussex",2007,8.723333333333334
TLJ3,Hampshire and Isle of Wight,2007,7.925714285714287
TLJ4,Kent,2007,7.630000000000001
TLK3,Cornwall and Isles of Scilly,2007,9.64
TLK4,Devon,2007,9.347
TLK5,West of England,2007,8.05
TLK6,"North Somerset, Somerset and Dorset",2007,8.4975
TLK7,Gloucestershire and Wiltshire,2007,7.6987499999999995
TLL3,North Wales,2007,6.811666666666667
TLL4,Mid and South West Wales,2007,7.1116666666666655
TLL5,South East Wales,2007,5.76
TLC3,Tees Valley,2008,5.2620000000000005
TLC4,"Northumberland, Durham and Tyne & Wear",2008,5.768571428571428
TLD1,Cumbria,2008,5.98
TLD3,Greater Manchester,2008,5.604
TLD4,Lancashire,2008,5.5600000000000005
TLD6,Cheshire,2008,6.123333333333334
TLD7,Merseyside,2008,5.553333333333334
TLE1,East Yorkshire and Northern Lincolnshire,2008,4.965
TLE2,North Yorkshire,2008,7.42
TLE3,South Yorkshire,2008,5.2275
TLE4,West Yorkshire,2008,5.636
TLF1,Derbyshire and Nottinghamshire,2008,5.642941176470589
TLF2,"Leicestershire, Rutland and Northamptonshire",2008,6.553636363636364
TLF3,Lincolnshire,2008,6.594285714285715
TLG1,"Herefordshire, Worcestershire and Warwickshire",2008,7.085833333333333
TLG2,Shropshire and Staffordshire,2008,5.999090909090909
TLG3,West Midlands,2008,5.88857142857143
TLH2,Bedfordshire and Hertfordshire,2008,7.587692307692308
