itl2_code,itl2_name,year,population
TLI5,Outer London - East and North East,1993,1518712.0
TLI6,Outer London - South,1993,1091530.0
TLI7,Outer London - West and North West,1993,1632555.0
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",1993,1985799.0
TLJ2,"Surrey, East and West Sussex",1993,2451656.0
TLJ3,Hampshire and Isle of Wight,1993,1707295.0
TLJ4,Kent,1993,1528422.0
TLK3,Cornwall and Isles of Scilly,1993,474736.0
TLK4,Devon,1993,1040670.0
TLK5,West of England,1993,781452.0
TLK6,"North Somerset, Somerset and Dorset",1993,1316026.0
TLK7,Gloucestershire and Wiltshire,1993,1120750.0
TLL3,North Wales,1993,652004.0
TLL4,Mid and South West Wales,1993,839634.0
TLL5,South East Wales,1993,1391920.0
TLM0,Eastern Scotland,1993,874560.0
TLM1,East Central Scotland,1993,890130.0
TLM2,Highlands and Islands,1993,593820.0
TLM3,West Central Scotland,1993,1498850.0
TLM5,North Eastern Scotland,1993,441350.0
TLM9,Southern Scotland,1993,931410.0
TLN0,Northern Ireland,1993,0.0
TLC3,Tees Valley,1994,656800.0
TLC4,"Northumberland, Durham and Tyne & Wear",1994,1931861.0
TLD1,Cumbria,1994,487002.0
TLD3,Greater Manchester,1994,2545656.0
TLD4,Lancashire,1994,1413913.0
TLD6,Cheshire,1994,850052.0
TLD7,Merseyside,1994,1542281.0
TLE1,East Yorkshire and Northern Lincolnshire,1994,883011.0
TLE2,North Yorkshire,1994,720426.0
TLE3,South Yorkshire,1994,1283838.0
TLE4,West Yorkshire,1994,2072812.0
TLF1,Derbyshire and Nottinghamshire,1994,1965049.0
TLF2,"Leicestershire, Rutland and Northamptonshire",1994,1501158.0
TLF3,Lincolnshire,1994,605513.0
TLG1,"Herefordshire, Worcestershire and Warwickshire",1994,1181478.0
TLG2,Shropshire and Staffordshire,1994,1462010.0
TLG3,West Midlands,1994,2605807.0
TLH2,Bedfordshire and Hertfordshire,1994,1535544.0
TLH3,Essex,1994,1558453.0
TLH4,Cambridgeshire and Peterborough,1994,676718.0
TLH5,Norfolk,1994,762389.0
TLH6,Suffolk,1994,644811.0
TLI3,Inner London - West,1994,914611.0
TLI4,Inner London - East,1994,1697744.0
TLI5,Outer London - East and North East,1994,1521046.0
TLI6,Outer London - South,1994,1097844.0
TLI7,Outer London - West and North West,1994,1642282.0
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",1994,2000001.0
TLJ2,"Surrey, East and West Sussex",1994,2459962.0
TLJ3,Hampshire and Isle of Wight,1994,1718946.0
TLJ4,Kent,1994,1532685.0
TLK3,Cornwall and Isles of Scilly,1994,477402.0
TLK4,Devon,1994,1043756.0
TLK5,West of England,1994,784826.0
TLK6,"North Somerset, Somerset and Dorset",1994,1324919.0
TLK7,Gloucestershire and Wiltshire,1994,1126175.0
TLL3,North Wales,1994,653817.0
TLL4,Mid and South West Wales,1994,841221.0
TLL5,South East Wales,1994,1392409.0
TLM0,Eastern Scotland,1994,876740.0
TLM1,East Central Scotland,1994,894610.0
TLM2,Highlands and Islands,1994,596350.0
TLM3,West Central Scotland,1994,1493850.0
TLM5,North Eastern Scotland,1994,445060.0
TLM9,Southern Scotland,1994,933150.0
TLN0,Northern Ireland,1994,0.0
TLC3,Tees Valley,1995,655641.0
TLC4,"Northumberland, Durham and Tyne & Wear",1995,1927074.0
TLD1,Cumbria,1995,486791.0
TLD3,Greater Manchester,1995,2540184.0
TLD4,Lancashire,1995,1414694.0
TLD6,Cheshire,1995,853412.0
TLD7,Merseyside,1995,1532859.0
TLE1,East Yorkshire and Northern Lincolnshire,1995,882821.0
TLE2,North Yorkshire,1995,724843.0
TLE3,South Yorkshire,1995,1280195.0
TLE4,West Yorkshire,1995,2072716.0
TLF1,Derbyshire and Nottinghamshire,1995,1967783.0
TLF2,"Leicestershire, Rutland and Northamptonshire",1995,1511408.0
TLF3,Lincolnshire,1995,612472.0
TLG1,"Herefordshire, Worcestershire and Warwickshire",1995,1186508.0
TLG2,Shropshire and Staffordshire,1995,1466819.0
TLG3,West Midlands,1995,2603584.0
TLH2,Bedfordshire and Hertfordshire,1995,1542147.0
TLH3,Essex,1995,1564931.0
TLH4,Cambridgeshire and Peterborough,1995,681426.0
TLH5,Norfolk,1995,765596.0
TLH6,Suffolk,1995,651600.0
TLI3,Inner London - West,1995,916151.0
TLI4,Inner London - East,1995,1712467.0
TLI5,Outer London - East and North East,1995,1524685.0
TLI6,Outer London - South,1995,1106554.0
TLI7,Outer London - West and North West,1995,1653266.0
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",1995,2024783.0
TLJ2,"Surrey, East and West Sussex",1995,2473659.0
TLJ3,Hampshire and Isle of Wight,1995,1729381.0
TLJ4,Kent,1995,1535155.0
TLK3,Cornwall and Isles of Scilly,1995,480320.0
TLK4,Devon,1995,1048301.0
TLK5,West of England,1995,786178.0
TLK6,"North Somerset, Somerset and Dorset",1995,1333784.0
TLK7,Gloucestershire and Wiltshire,1995,1133273.0
TLL3,North Wales,1995,655078.0
TLL4,Mid and South West Wales,1995,841486.0
TLL5,South East Wales,1995,1391953.0
TLM0,Eastern Scotland,1995,877950.0
